course_id,title,provider,mapped_skill,cost,duration_hours,difficulty,source_url,description_preview
560,(SCTP) WSQ Advanced Certificate in Tourism (Events Management and Operations),SHATEC INSTITUTES PTE. LTD.,Budget Tracking,1848.0,308.0,Advanced,,"At the end of the Advanced Certificate course, students will be able to:_x000D_ _x000D_ â€¢ Analyse the structure of the tourism industry and the impact of changes in trends in the industry and consumer demand;_x000D_ â€¢ Draft proposals by evaluating relevant information and understanding client re"
561,(SCTP) WSQ Diploma in Media (Content Production and Management) - Assistant Director (Synchronous E-Learning),SINGAPORE MEDIA ACADEMY PRIVATE LIMITED,Budget Tracking,5820.0,200.0,Advanced,,"Designed and presented by practicing professionals, this interactive programme aims to empower participants with essential expertise to succeed as Assistant Directors in the media sector. The comprehensive curriculum includes production planning & scheduling, location scouting, production operations"
562,"(SCTP) WSQ Diploma in Retail (Retail Operations), Retail Operations Specialist",NTUC LEARNINGHUB PTE. LTD.,Budget Tracking,1047.0,116.0,Unspecified,,"Retail (SF): Financial Budget Planning and Management L4_x000D_ At the end of the course, learners will be able to recommend parameters for financial budget management._x000D_ _x000D_ Retail (SF): Customer Experience Management L4_x000D_ At the end of this course, learners will be able to understand"
563,(SCTP) WSQ Specialist Diploma in Media (Content Production and Management) - Producer,SINGAPORE MEDIA ACADEMY PRIVATE LIMITED,Budget Tracking,3300.0,107.5,Intermediate,,"Crafted by media professionals, this programme refines participants into specialised Producers capable of independently overseeing projects. Modules cover performer selection, budgeting, pre-production planning, crew management, and project pitching, fostering a comprehensive understanding of the pr"
564,(SCTP) WSQ Specialist Diploma in Media (Content Production and Management) - Producer (Synchronous E-Learning),SINGAPORE MEDIA ACADEMY PRIVATE LIMITED,Budget Tracking,3300.0,107.5,Intermediate,,"Crafted by media professionals, this programme refines participants into specialised Producers capable of independently overseeing projects. Modules cover performer selection, budgeting, pre-production planning, crew management, and project pitching, fostering a comprehensive understanding of the pr"
565,(eCornell) Creating the Real Estate Development Package,GENASHTIM,Budget Tracking,700.0,12.0,Unspecified,,"In this course, you will calculate, compile, and organize your project vision, budget estimates, and materials into a single document called the development package. This document will not only help you communicate your project to potential investors, but it will also serve as a basis for developin"
566,(eCornell) Navigating the Healthcare Regulatory Environment,GENASHTIM,Budget Tracking,700.0,12.0,Intermediate,,"With a practical focus, this course outlines an approach designed to help you understand and comply with the essential requirements of regulatory agencies. The course begins with a look at regulations and the government bodies that issue them. It moves on to discuss the role of compliance officers w"
567,"(eCornell) Raising Capital: The Process, the Players, and the Strategic Considerations",GENASHTIM,Budget Tracking,700.0,12.0,Unspecified,,"Making sound capital budgeting and funding decisions is a vital part of your role as a manager, and this course shows you how characteristics of capital markets impact the process and prospects of raising capital. Learn how to observe external economic data, tips for developing strategies to balanc"
568,(eCornell) Real Estate Site Selection Analysis and Decisions,GENASHTIM,Budget Tracking,700.0,12.0,Unspecified,,"In this course, you will develop a systematic, project-based site selection process. Using a set of building sites, you will evaluate each site's proximity to economic generators, as-of-right zoning, budget, and size fit to quickly and efficiently eliminate sites. You will then analyze the project'"
716,(SCTP) IT Business Analyst: Capstone Project,NTUC LEARNINGHUB PTE. LTD.,Business Requirements Gathering,540.0,48.0,Unspecified,,"This course aims to familiarize participants with Business Analysis (BA) and its role in facilitating enterprise changes. Students will learn essential BA terms, concepts, competencies, techniques, and perspectives. They will develop skills in eliciting stakeholder requirements, specifying and model"
717,"Advanced Certificate in Generative AI for Business Analyst Module 1: Business Analysis Fundamentals and Introduction to Generative AI (Classroom, Asynchronous and Synchronous E-Learning)",SINGAPORE MANAGEMENT UNIVERSITY,Business Requirements Gathering,1920.0,110.0,Advanced,,"From mastering the fundamentals of artificial intelligence (AI) and data preprocessing to leveraging cutting-edge generative AI algorithms for data analysis, process optimisation, and customer behaviour insights, this advanced certificate programme aims to equip participants with the capabilities to"
718,Business Accounting (in MC in Business Analysis in Part-time Diploma in Business Practice (Business Administration)),Temasek Polytechnic,Business Requirements Gathering,1698.0,60.0,Beginner,,"This subject provides an understanding of basic accounting concepts and processes, and their applications in businesses. It includes the double-entry system of bookkeeping, preparation of financial statements, accounting for assets such as cash and inventories and the importance of controls over the"
719,Business Accounting (in MC in Business Analysis in Part-time Diploma in Business Practice (Logistics Management)),Temasek Polytechnic,Business Requirements Gathering,1698.0,60.0,Beginner,,"This subject provides an understanding of basic accounting concepts and processes, and their applications in businesses. It includes the double-entry system of bookkeeping, preparation of financial statements, accounting for assets such as cash and inventories and the importance of controls over the"
720,Business Analysis,Singapore University of Social Sciences,Business Requirements Gathering,2922.0,41.0,Unspecified,,Define the product scope Work with the development team in the systems testing stage Ensure the solution is usable in the business environment Acquire information necessary to the definition of requirements Conduct a requirements information gathering session Write and validate a requirements docume
721,Business Analysis Foundation,BRIDGINGMINDS NETWORK PTE. LTD.,Business Requirements Gathering,600.0,15.5,Beginner,,"LO1: Identify gaps or opportunities in existing business processes using gap or opportunity identification methods_x000D_ LO2: Identify relevant stakeholders, structured and unstructured information sources to gather business requirements_x000D_ LO3: Establish the needs of stakeholders within busine"
722,Business Analysis Planning and Strategy Analysis,NATIONAL UNIVERSITY OF SINGAPORE,Business Requirements Gathering,855.0,21.0,Unspecified,,"Upon completing the course, the learner is able to:_x000D_ - Understand what Business Analysis is_x000D_ - The role of a Business Analyst in the entire Systems Development Life Cycle_x000D_ - Skillsets a Business Analyst must have to perform an effective business needs analysis_x000D_ - Understand t"
723,Business Analysis Planning and Strategy Analysis (Synchronous e-learning),NATIONAL UNIVERSITY OF SINGAPORE,Business Requirements Gathering,855.0,21.0,Unspecified,,"Upon completing the course, the learner is able to:_x000D_ - Understand what Business Analysis is_x000D_ - The role of a Business Analyst in the entire Systems Development Life Cycle_x000D_ - Skillsets a Business Analyst must have to perform an effective business needs analysis_x000D_ - Understand t"
724,Business Statistics (in MC Business Analysis in Part-time Diploma in Business Practice (Business Administration)),Temasek Polytechnic,Business Requirements Gathering,1698.0,60.0,Beginner,,"The subject provides students with an introductory survey of the applications of descriptive and inferential statistics in a business environment. It aims to equip students with the knowledge and skills to: organise, analyse, interpret and present data related to a business environment, and apply ba"
725,Business Statistics (in MC in Business Analysis in Part-time Diploma in Business Practice (Logistics Management)),Temasek Polytechnic,Business Requirements Gathering,1698.0,60.0,Beginner,,"The subject provides students with an introductory survey of the applications of descriptive and inferential statistics in a business environment. It aims to equip students with the knowledge and skills to: organise, analyse, interpret and present data related to a business environment, and apply ba"
761,(ISC)2 Certified Cloud Security Professional (CCSP) (SF),NTUC LEARNINGHUB PTE. LTD.,Cloud Basics,1170.0,40.0,Intermediate,,â€¢	Evaluate organisational requirements and business needs for cloud solutions _x000D_ â€¢	Evaluate new and emerging cloud solutions to determine its efficacy and suitability against organisational requirements_x000D_ â€¢	Review performance of cloud solutions _x000D_ â€¢	Evaluate the benefits and c
762,(ISC)2 Certified Cloud Security Professional (CCSP) (SF) (Synchronous e-learning),NTUC LEARNINGHUB PTE. LTD.,Cloud Basics,1170.0,40.0,Intermediate,,â€¢	Evaluate organisational requirements and business needs for cloud solutions _x000D_ â€¢	Evaluate new and emerging cloud solutions to determine its efficacy and suitability against organisational requirements_x000D_ â€¢	Review performance of cloud solutions _x000D_ â€¢	Evaluate the benefits and c
763,"(Micro-Credential) Back-End Web Development (Classroom, Synchronous, Asynchronous e-learning)",SINGAPORE POLYTECHNIC,Cloud Basics,984.0,90.0,Unspecified,,"This module covers server-side programming, cloud application and cloud deployment._x000D_ Back-end developers build and maintain the server-side software applications which interact with front-end websites to ensure that the websites functions properly. A web application is a software application t"
764,(SCTP) Advanced Certificate in Infocomm Technology Infrastructure and Operations,@ASK TRAINING PTE. LTD.,Cloud Basics,3000.0,236.0,Advanced,,"The Advanced Certificate in IT Infrastructure and Operations aims to equip the trainees with comprehensive knowledge and hands-on skills in managing and optimising IT infrastructure. It consists of seven structured and progressive modules, including a capstone project aiming to equip the trainees wi"
765,(SCTP) Advanced Certificate in Software Development with the Amazon Web Service (AWS) Cloud,SINGAPORE MANAGEMENT UNIVERSITY,Cloud Basics,5400.0,120.0,Advanced,,"By the end of the programme, students will be equipped with the skills needed to launch a successful career in the software development industry, including containerisation, continuous integration and deployment (CI/CD). They will have the opportunity to network with industry professionals from the"
766,(SCTP) Advanced Certificate in Software Development with the Amazon Web Service (AWS) Cloud (Synchronous E-Learning),SINGAPORE MANAGEMENT UNIVERSITY,Cloud Basics,5400.0,120.0,Advanced,,"By the end of the programme, students will be equipped with the skills needed to launch a successful career in the software development industry, including containerisation, continuous integration and deployment (CI/CD). They will have the opportunity to network with industry professionals from the"
767,"(SCTP) Advanced Professional Certificate in Cloud Infrastructure Engineering (Classroom, Synchronous and Asynchronous E-Learning)",NANYANG TECHNOLOGICAL UNIVERSITY,Cloud Basics,4500.0,390.0,Advanced,,"Trainees will gain well-rounded employment opportunities with tech companies by providing them with fundamental training in the necessary technological demands in the software deployments and cloud products space. Instead of deep-diving into specific specialisation, the objective of this program aim"
768,(SCTP) Cloud Administrator,NTUC LEARNINGHUB PTE. LTD.,Cloud Basics,5880.0,324.0,Intermediate,,"This is a part-time course. The SCTP Cloud Administrator course at NTUC LearningHub is an essential starting point for newcomers to cloud computing. This comprehensive programme covers networking fundamentals (CompTIA Network+), essential ICT security practices (CompTIA Security+), and Linux Server"
769,(SCTP) Cloud Administrator (Full-Time) (TA-eligible),NTUC LEARNINGHUB PTE. LTD.,Cloud Basics,5880.0,324.0,Unspecified,,"The objective of the Cloud Administrator course is to provide students with the knowledge and skills necessary to manage and maintain cloud computing systems and applications. The course aims to equip students with an understanding of cloud infrastructure, deployment models, security, automation, an"
770,(SCTP) Cloud Administrator: Capstone Project,NTUC LEARNINGHUB PTE. LTD.,Cloud Basics,600.0,80.0,Intermediate,,"This capstone project serves as a culmination of the knowledge and skills acquired throughout the Cloud Administrator programme. Students will design, deploy, and manage various virtual machines and cloud services to create a scalable and reliable cloud infrastructure. Emphasis will be placed on pra"
1346,"(ACECCE) Engage in Continuous Learning and Reflective Practice (Infant/Toddler Educarer, Beginning Educarer)",KLC INTERNATIONAL INSTITUTE PTE. LTD.,Communication,115.5,21.0,Intermediate,,"Early childhood educators have a major influence in the lives of young children, and the use of many talents and skills are required in teaching. They are also expected to be models of communication and interpersonal skills in their interactions with children, parents and colleagues. Teachers need a"
1347,(ACECCE) Facilitate the Continuity of Care and Education between the Home and Centre,KLC INTERNATIONAL INSTITUTE PTE. LTD.,Communication,115.5,30.0,Intermediate,,"Young children strive on relationships that help them build a sense of trust and security, which in turn develop confidence and build a sense of identity. Respectful relationships with families are needed to form positive relationships between educators and families and children, and these positive"
1348,"(ACEY) Engage in Continuous Learning and Reflective Practice (Infant/Toddler Educarer, Beginning Educarer)",KLC INTERNATIONAL INSTITUTE PTE. LTD.,Communication,152.625,21.0,Intermediate,,"Early childhood educators have a major influence in the lives of young children, and the use of many talents and skills are required in teaching. They are also expected to be models of communication and interpersonal skills in their interactions with children, parents and colleagues. Educarers need"
1349,(ACEY) Facilitate the Continuity of Care and Education between the Home and Centre,KLC INTERNATIONAL INSTITUTE PTE. LTD.,Communication,152.625,40.0,Unspecified,,"Young infants and toddlers strive on relationships that help them build a sense of trust and security, which in turn develop confidence and build a sense of identity. Respectful relationships with families are needed to form positive relationships between educarers and families and children, and the"
1350,(ACEY) Supervised Teaching Practice 1,KLC INTERNATIONAL INSTITUTE PTE. LTD.,Communication,152.625,70.0,Unspecified,,"In this practicum phase, students are given the opportunities to under study and work with both young children and other practising educarers already in the field. Students will initiate and carry out effectively required roles and responsibilities in an infant / toddler care centre. They will take"
1351,(ACEY) Supervised Teaching Practice 2,KLC INTERNATIONAL INSTITUTE PTE. LTD.,Communication,152.625,116.0,Unspecified,,"In this practicum phase, students are given the opportunities to under study and work with both young children and other practising educarers already in the field. Students will initiate and carry out effectively required roles and responsibilities in an infant / toddler care centre. They will take"
1352,"(ACEY/CCP) Engage in Continuous Learning and Reflective Practice (Infant/Toddler Educarer, Beginning Educarer)",KLC INTERNATIONAL INSTITUTE PTE. LTD.,Communication,152.625,21.0,Intermediate,,"Early childhood educators have a major influence in the lives of young children, and the use of many talents and skills are required in teaching. They are also expected to be models of communication and interpersonal skills in their interactions with children, parents and colleagues. Educarers need"
1353,(ACEY/CCP) Facilitate the Continuity of Care and Education between the Home and Centre,KLC INTERNATIONAL INSTITUTE PTE. LTD.,Communication,152.625,40.0,Unspecified,,"Young infants and toddlers strive on relationships that help them build a sense of trust and security, which in turn develop confidence and build a sense of identity. Respectful relationships with families are needed to form positive relationships between educarers and families and children, and the"
1354,(ACEY/CCP) Supervised Teaching Practice 1,KLC INTERNATIONAL INSTITUTE PTE. LTD.,Communication,152.625,70.0,Unspecified,,"In this practicum phase, students are given the opportunities to under study and work with both young children and other practising educarers already in the field. Students will initiate and carry out effectively required roles and responsibilities in an infant / toddler care centre. They will take"
1355,(ACEY/CCP) Supervised Teaching Practice 2,KLC INTERNATIONAL INSTITUTE PTE. LTD.,Communication,152.625,116.0,Unspecified,,"In this practicum phase, students are given the opportunities to under study and work with both young children and other practising educarers already in the field. Students will initiate and carry out effectively required roles and responsibilities in an infant / toddler care centre. They will take"
3112,(eCornell) Executive Compensation Essentials,GENASHTIM,Compensation Analysis,700.0,12.0,Beginner,,"This course provides a foundational overview of the governance process that shapes executive compensation and the components of executive pay packages, including base salary, short- and long-term performance incentives, benefits and perquisites, and a variety of contingent payments that can be inclu"
3113,(eCornell) Leading Across Cultures,GENASHTIM,Compensation Analysis,700.0,12.0,Unspecified,,"In the course project, you will examine the cultures and dimensions you work in, explore how compensation relates to risk, examine the hierarchy at your company, and evaluate your own leadership style as it relates to the cultures you work in. You will also get to investigate the 2015 Greek financia"
3114,(eCornell) Workplace Disability Inclusion,GENASHTIM,Compensation Analysis,700.0,12.0,Intermediate,,"In this course, you will learn how to make disability inclusion an explicit part of your overarching business strategy. Starting with a a broad overview of the role HR professionals play in addressing this issue, you will maximize workplace disability inclusion and minimize disability discrimination"
3115,Advanced Certificate in Future Ready Rewards Strategies Module 2: Rewards Analytics,SINGAPORE MANAGEMENT UNIVERSITY,Compensation Analysis,600.0,15.0,Advanced,,"At the end of the 2-day module, participants will be able to:_x000D_ â€¢ Understand and use Rewards/compensation analytics to  drive individual performance and business results. _x000D_ â€¢ Apply data-analytic thinking, data management and modelling._x000D_ â€¢ Learn about various popular tools avai"
3116,Compensation & Benefits,Institute of Technical Education,Compensation Analysis,861.0,60.0,Unspecified,,"On completion of the module, students should be able to apply statutory and organisational policies to calculate various types of compensations, claims and benefits to support the compensation and benefits function in an organisation."
3117,Compensation Management Level 2: Process Payroll (Synchronous and Asynchronous e-learning),HUMAN CAPITAL (SINGAPORE) PTE. LTD.,Compensation Analysis,250.0,24.0,Unspecified,,"This unit addresses the skills and knowledge required to process payroll. It covers collating data, as well as calculating and preparing payments."
3118,Compensation Management Level 4: Implement International Compensation Programme (Synchronous e-Learning),HUMAN CAPITAL (SINGAPORE) PTE. LTD.,Compensation Analysis,355.0,24.0,Unspecified,,This SSG module enables your learners to acquire the knowledge and skills required develop and implement an international compensation programme at the organizational level.
3119,EEE6005 Power Quality and Reliability,SINGAPORE INSTITUTE OF TECHNOLOGY,Compensation Analysis,992.72,39.0,Unspecified,,"Concept of Power Quality and Reliability (PQR)_x000D_ Causes of PQR problems; power quality versus reliability; PQR terms and definitions, power quality standards._x000D_ Voltage Fluctuations and Variations_x000D_ Overvoltages, voltage sag caused by starting of induction motor, switching of reactive"
3120,Employee Relations Management (part of PDC2 of Specialist Diploma in Human Resource Management),Nanyang Polytechnic,Compensation Analysis,972.0,30.0,Unspecified,,This module is part of Post Diploma Certificate in Performance and Compensation Management of Specialist Diploma in Human Resource Management._x000D_ _x000D_ This module consists of 30 hours of training.
3121,Employment Law (part of PDC2 of Specialist Diploma in Human Resource Management),Nanyang Polytechnic,Compensation Analysis,972.0,30.0,Unspecified,,This module is part of Post Diploma Certificate in Performance and Compensation Management of Specialist Diploma in Human Resource Management_x000D_ _x000D_ This module consists of 30 hours of training.
3145,"(SCTP Module) Advocacy for Sustainability (Classroom, Synchronous and Asynchronous)",Republic Polytechnic,Critical Thinking,279.0,45.0,Unspecified,,"This module explores the principles and strategies for driving sustainability initiatives through effective advocacy. Students will learn to engage stakeholders, craft persuasive messages, and leverage communication platforms to promote sustainable practices. By examining case studies and participat"
3146,"(SCTP Module) Capstone Project: Accelerating Business Growth (Classroom, Synchronous and Asynchronous)",Republic Polytechnic,Critical Thinking,279.0,45.0,Unspecified,,"In this capstone module, students will engage in a comprehensive project that integrates and applies their learning to real-world business challenges. Teams will identify growth opportunities for a chosen organization and develop strategic solutions that encompass marketing and content creation, bus"
3147,(SCTP Module) Computer Networks,SINGAPORE UNIVERSITY OF TECHNOLOGY AND DESIGN,Critical Thinking,1620.0,42.5,Intermediate,,"This is an introductory course to the internals of major internet applications and software, including Domain Name System (DNS), world wide web, HyperText Transfer Protocol (HTTP), and client-server using Transmission Control Protocol (TCP) sockets. Students will learn key concepts, design principle"
3148,(SCTP) Blockchain Developer (Classroom and Synchronous eLearning),BELLS Institute of Higher Learning Pte. Ltd.,Critical Thinking,2896.8,156.5,Intermediate,,"1. Java Programming for Complete Beginners is designed with a comprehensive learning path that enables the participants to get acquainted with the essential concepts such as Java Array, Threads Exception Handling, etc. This module also provides hands-on training of the advance Java frameworks that a"
3149,(SCTP) Career Diploma in Culinary Arts (Full-Time) (TA-eligible),AT-SUNRICE GLOBALCHEF ACADEMY PTE. LTD.,Critical Thinking,5700.0,533.5,Advanced,,The (SCTP) Career Diploma In Culinary Arts equips the learners with:_x000D_ a)	critical thinking and managerial work function skills that will allow them to acquire and broaden advanced level skills & knowledge in culinary arts management. This will in turn help course participants to build strong m
3150,(SCTP) Career Diploma in Pastry and Bakery (Full-Time) (TA-eligible),AT-SUNRICE GLOBALCHEF ACADEMY PTE. LTD.,Critical Thinking,5700.0,557.5,Advanced,,(SCTP) Career Diploma in Pastry & Bakery programme will equip the learners with:_x000D_ a)	critical thinking and managerial work function skills that will allow them to acquire and broaden advanced level skills & knowledge in pastry & baking management. This will in turn help course participants to
3151,(SCTP) Cybersecurity Professional,BELLS Institute of Higher Learning Pte. Ltd.,Critical Thinking,3607.5,240.5,Intermediate,,"1. CompTIA A+: Master the basics of IT support, hardware components, operating systems, and network troubleshooting, while learning to identify and protect against security vulnerabilities._x000D_ _x000D_ 2. CompTIA Network+: Develop the skills necessary to design, implement, and manage functional n"
3152,(SCTP) Diploma in Beverage Management (Full-Time) (TA-eligible),AT-SUNRICE GLOBALCHEF ACADEMY PTE. LTD.,Critical Thinking,5700.0,520.5,Advanced,,The Diploma in Beverage Management programme will equip the learners with:_x000D_ a)	critical thinking and managerial work function skills that will allow them to acquire and broaden advanced level skills & knowledge in beverage service. This will in turn help course participants to build strong man
3153,(SCTP) Diploma in Food and Beverage Management (Full-Time) (TA-eligible),AT-SUNRICE GLOBALCHEF ACADEMY PTE. LTD.,Critical Thinking,5700.0,522.5,Advanced,,The Diploma in Food and Beverage Management programme will equip the learners with:_x000D_ a)	critical thinking and managerial work function skills that will allow them to acquire and broaden advanced level skills & knowledge in food and beverage service. This will in turn help course participants t
3154,(SCTP) Diploma in Motion Design,3DSENSE MEDIA SCHOOL PTE. LTD.,Critical Thinking,7500.0,540.0,Intermediate,,"Motion Graphic Design introduces students to the principles and elements of motion design through practical applications practices. The relationships of design and motion is heavily emphasised, with the broad fundamentals of design applied to various animation principles. Through the course, student"
3418,(WSQ) The Complete Digital Marketing Course,EQUINET ACADEMY PRIVATE LIMITED,Dashboarding,1499.5,48.0,Intermediate,,"If you're ready to take digital marketing seriously â€“ whether you're starting out, switching careers, or levelling up â€“ this immersive programme equips you with practical, end-to-end digital marketing skills designed to deliver real business results._x000D_ _x000D_ Led by industry practitioners,"
3419,(eCornell) Creating Effective Data-Driven Dashboards,GENASHTIM,Dashboarding,700.0,12.0,Unspecified,,"As you work through this course, you will get hands-on practice implementing a variety of functions and techniques to develop Excel-based analytical tools. By applying intelligent design principles, you will build dashboards that clearly guide user input and provide results dynamically, giving users"
3420,(eCornell) Making Data Usable,GENASHTIM,Dashboarding,700.0,12.0,Unspecified,,"In this course, you will discover how to make data usable by following a disciplined process of transforming, cleaning, and synthesizing data. You will gain hands-on practice getting your data ready by using filters and logical functions to structure data, identify errors, and create a ï¿½cleanï¿½ d"
3421,Advanced Certificate in Business Analytics for Data-Driven Decision Making (with Python) Module 6: Interactive Dashboard and End-to-end Business Analytics for Decision-Making,SINGAPORE MANAGEMENT UNIVERSITY,Dashboarding,600.0,15.0,Advanced,,"At the end of this 2-day module, participants will be able to:_x000D_ â€¢ Create interactive dashboards with Dash_x000D_ â€¢ Apply Dash apps to various contexts of business analytics_x000D_ â€¢ Produce an API that serves a Dash app that displays the results of business analytics"
3422,Advanced Certificate in Business Analytics for Data-Driven Decision Making (with Python) Module 6: Interactive Dashboard and End-to-end Business Analytics for Decision-Making (Synchronous E-learning),SINGAPORE MANAGEMENT UNIVERSITY,Dashboarding,600.0,15.0,Advanced,,"At the end of this 2-day module, participants will be able to:_x000D_ â€¢ Create interactive dashboards with Dash_x000D_ â€¢ Apply Dash apps to various contexts of business analytics_x000D_ â€¢ Produce an API that serves a Dash app that displays the results of business analytics"
3423,Advanced Digital Marketing (SF) (Synchronous and Asynchronous E-Learning),LITHAN ACADEMY PTE. LTD.,Dashboarding,1500.0,60.5,Advanced,,"By the end of this module, the learner is able to gain the following:_x000D_ -KNOWLEDGE-_x000D_ ï‚§	Create marketing & campaign plans_x000D_ ï‚§	Customer journey map and customer life cycle _x000D_ ï‚§	Google Analytics reports, dashboards and various Analytics features used to improve campaigns and"
3424,Advanced Financial Modelling and Corporate Valuation,SINGAPORE MANAGEMENT UNIVERSITY,Dashboarding,1200.0,32.0,Advanced,,"At the end of the 4-day course, participants will be able to:_x000D_ â€¢ Build a full 3-statement model from scratch, integrated with dynamic Cash & Revolver balancing_x000D_ â€¢ Process cork-screw schedules including multiple debt, sweep, and amortisation_x000D_ â€¢ Incorporate Debt Capacity models"
3425,Advanced Financial Modelling and Corporate Valuation (Synchronous E-learning),SINGAPORE MANAGEMENT UNIVERSITY,Dashboarding,1200.0,32.0,Advanced,,"At the end of the 4-day course, participants will be able to:_x000D_ â€¢ Build a full 3-statement model from scratch, integrated with dynamic Cash & Revolver balancing_x000D_ â€¢ Process cork-screw schedules including multiple debt, sweep, and amortisation_x000D_ â€¢ Incorporate Debt Capacity models"
3426,Advanced Google Analytics for Power Users,CLICKACADEMY ASIA PTE. LTD.,Dashboarding,497.5,16.0,Advanced,,"â€¢ Examine the fundamental of Google Analytics including tools and techniques_x000D_ â€¢ Build reports in Google Analytics featuring relevant data displays of patterns, trends and correlations_x000D_ â€¢ Build customer segments in Google Analytics and display the trends and findings in an optimal w"
3427,Advanced Google Analytics for Power Users (Synchronous e-learning),CLICKACADEMY ASIA PTE. LTD.,Dashboarding,497.5,16.0,Advanced,,"â€¢ Examine the fundamental of Google Analytics including tools and techniques_x000D_ â€¢ Build reports in Google Analytics featuring relevant data displays of patterns, trends and correlations_x000D_ â€¢ Build customer segments in Google Analytics and display the trends and findings in an optimal w"
3485,(SCTP Module) Data Wrangling and Preparation with Programming,SINGAPORE UNIVERSITY OF TECHNOLOGY AND DESIGN,Data Cleaning,1350.0,156.5,Unspecified,,Perform the data preparation component for the role of a junior data scientist or a data engineer or a business analyst role._x000D_ Understand the types of data and databases in the business context_x000D_ Appreciate the use of data dictionary and harness the potential of metadata for data science_
3486,(SCTP) Market Research Professionals (Classroom & Asynchronous) (Full-Time) (TA-eligible),Republic Polytechnic,Data Cleaning,1584.0,270.0,Intermediate,,"This course aims to equip learners with the necessary skills and knowledge of both qualitative and quantitative research._x000D_ _x000D_ In qualitative research, learners will cover the different phases of qualitative research process: discussion guide design, focus group discussion dynamics and qua"
3487,"(SCTP) Market Research Professionals (Classroom, Synchronous & Asynchronous)",Republic Polytechnic,Data Cleaning,1584.0,270.0,Intermediate,,"This course aims to equip learners with the necessary skills and knowledge of both qualitative and quantitative research._x000D_ _x000D_ In qualitative research, learners will cover the different phases of qualitative research process: discussion guide design, focus group discussion dynamics and qua"
