course_id,title,provider,skill_id,cost,duration_hours,difficulty,source_url
60,Business Accounting (in MC in Business Analysis in Part-time Diploma in Business Practice (Business Administration)),Temasek Polytechnic,21,1698.0,60.0,Beginner,
61,Business Accounting (in MC in Business Analysis in Part-time Diploma in Business Practice (Logistics Management)),Temasek Polytechnic,21,1698.0,60.0,Beginner,
62,Business Statistics (in MC Business Analysis in Part-time Diploma in Business Practice (Business Administration)),Temasek Polytechnic,21,1698.0,60.0,Beginner,
63,Business Statistics (in MC in Business Analysis in Part-time Diploma in Business Practice (Logistics Management)),Temasek Polytechnic,21,1698.0,60.0,Beginner,
64,Problem-Solving Skills in Business (in MC in Business Analysis in Part-time Diploma in Business Practice (Business Administration)),Temasek Polytechnic,21,1698.0,60.0,Beginner,
65,Problem-Solving Skills in Business (in MC in Business Analysis in Part-time Diploma in Business Practice (Logistics Management)),Temasek Polytechnic,21,1698.0,60.0,Beginner,
66,(SCTP) IT Business Analyst: Capstone Project,NTUC LEARNINGHUB PTE. LTD.,21,540.0,48.0,Unspecified,
67,ECBA Exam Preparation Level 3 (Synchronous e-Learning),EPM TRAINING SERVICES PTE. LTD.,21,650.0,24.0,Intermediate,
68,Introduction to Cloud Computing (powered by AWS),NTUC LEARNINGHUB PTE. LTD.,19,150.0,8.0,Beginner,
69,Introduction to Cloud Computing (powered by AWS) (Synchronous e-Learning),NTUC LEARNINGHUB PTE. LTD.,19,150.0,8.0,Beginner,
70,AWS Academy Cloud Foundations (ACF),Republic Polytechnic,19,108.0,16.0,Beginner,
71,AWS Cloud Practitioner Essentials (SF) (Synchronous e-learning),NTUC LEARNINGHUB PTE. LTD.,19,225.0,8.0,Unspecified,
72,AWS Academy Cloud Architecting,Republic Polytechnic,19,149.7,32.0,Beginner,
73,AWS Cloud Practitioner Essentials (SF),NTUC LEARNINGHUB PTE. LTD.,19,375.0,8.0,Unspecified,
74,AWS Cloud Practitioner (SF),IT ENABLER CONSULTANCY PTE. LTD.,19,325.0,24.0,Unspecified,
75,Amazon Web Services (AWS) Academy Cloud Operations,Republic Polytechnic,19,330.0,36.0,Beginner,
76,AWS Certified Cloud Practitioner Training,TERTIARY INFOTECH PTE. LTD.,19,400.0,16.0,Advanced,
77,WSQ-AWS AWS Cloud Practitioner Essentials,TRAINOCATE (S) PTE. LTD.,19,500.0,16.0,Unspecified,
78,Cloud Technology & Automation (for Financial Sector),SINGAPORE MANAGEMENT UNIVERSITY,19,480.0,16.0,Intermediate,
79,"Advanced Certificate in AWS Cloud Architecting and DevOps Module 4: Continuous Integration, Delivery and Deployment (CI/CD) on AWS",SINGAPORE MANAGEMENT UNIVERSITY,19,480.0,15.0,Advanced,
80,Advanced Certificate in AWS Cloud Architecting and DevOps Module 5: DevOps on AWS,SINGAPORE MANAGEMENT UNIVERSITY,19,480.0,15.0,Advanced,
81,Advanced Certificate in AWS Cloud Architecting and DevOps Module 6: Practical Lab in Developing Applications on AWS,SINGAPORE MANAGEMENT UNIVERSITY,19,480.0,15.0,Advanced,
82,Module 3: Introduction to Cloud Computing and Amazon Web Services (AWS),SINGAPORE MANAGEMENT UNIVERSITY,19,675.0,15.0,Beginner,
83,Module 3: Introduction to Cloud Computing and Amazon Web Services (AWS) (Synchronous E-Learning),SINGAPORE MANAGEMENT UNIVERSITY,19,675.0,15.0,Beginner,
84,"Cloud essentials for Scientists, Engineers, and Technical Managers (AWS Cloud Practitioner Certification)",NANYANG TECHNOLOGICAL UNIVERSITY,19,900.0,20.0,Beginner,
85,Cloud Operations on AWS (SFw) (Synchronous e-learning),ST ENGINEERING E-SERVICES PTE. LTD.,19,1125.0,24.0,Unspecified,
86,WSQ-AWS Cloud Operations on AWS,TRAINOCATE (S) PTE. LTD.,19,1175.0,24.0,Unspecified,
87,CoC in Cloud Practitioner Essentials,Institute of Technical Education,19,132.0,15.0,Unspecified,
88,TFIP - Cloud Computing Capstone Project,NTUC LEARNINGHUB PTE. LTD.,19,750.0,40.0,Intermediate,
89,TFIP - Cloud Computing Capstone Project (Synchronous e-Learning),NTUC LEARNINGHUB PTE. LTD.,19,750.0,40.0,Intermediate,
90,Navigating Cloud Security,SINGAPORE UNIVERSITY OF TECHNOLOGY AND DESIGN,19,285.6,15.15,Unspecified,
91,Microsoft Azure Data Fundamentals (DP-900),TERTIARY INFOTECH PTE. LTD.,19,400.0,16.0,Advanced,
92,WSQ-MS Microsoft Azure Fundamentals (AZ-900),TRAINOCATE (S) PTE. LTD.,19,500.0,16.0,Beginner,
93,Lead Workplace Communication and Engagement,AT-SUNRICE GLOBALCHEF ACADEMY PTE. LTD.,51,54.8,13.0,Unspecified,
94,Business Communication Skills for Presentation and Reports,NTUC LEARNINGHUB PTE. LTD.,51,100.0,7.0,Unspecified,
95,Effective Workplace Communication,Temasek Polytechnic,51,96.0,7.0,Intermediate,
96,Workplace Communication (Classroom + Asynchronous),EVERSAFE ACADEMY PTE. LTD.,51,112.5,24.0,Unspecified,
97,Workplace Communication (SF - Associate),Singapore Institute Of Retail Studies (SIRS),51,220.0,15.0,Beginner,
98,Workplace Communication (SF - Associate) [Synchronous E-Learning],Singapore Institute Of Retail Studies (SIRS),51,220.0,15.0,Beginner,
99,Enabling Academy: Critical Soft Skills for Employment: Workplace Communication & Social Skills,Autism Resource Centre (Singapore),51,268.39,7.0,Beginner,
100,Workplace Communication (Level 2),IMPACT ANALYSIS ACADEMY,51,240.0,15.0,Beginner,
101,Lead Workplace Communication and Engagement,Institute of Singapore Chartered Accountants,51,225.0,16.0,Unspecified,
102,Lead Workplace Communication and Engagement,SINGAPORE NATIONAL EMPLOYERS FEDERATION,51,225.0,16.0,Unspecified,
103,Mastering Workplace Communication: Applying Effective Techniques,IGIVE ACADEMY PTE. LTD.,51,225.0,12.5,Intermediate,
104,Effectiveness Management L5 (Lead Workplace Communication and Engagement),NTUC LEARNINGHUB PTE. LTD.,51,250.0,16.0,Unspecified,
105,Lead Workplace Communication and Engagement,SSA ACADEMY PTE. LTD.,51,250.0,16.0,Unspecified,
106,Lead Workplace Communication and Engagement (ES-IP-401G-1) (Synchronous e-learning),NTUC LEARNINGHUB PTE. LTD.,51,250.0,16.0,Unspecified,
107,Professional Communication: Essentials,NANYANG TECHNOLOGICAL UNIVERSITY,51,300.0,13.0,Intermediate,
108,Professional Communication: Interpersonal skills,NANYANG TECHNOLOGICAL UNIVERSITY,51,300.0,13.0,Intermediate,
109,Professional Communication: Speaking skills,NANYANG TECHNOLOGICAL UNIVERSITY,51,300.0,13.0,Intermediate,
110,Workplace Communication (synchronous E-learning),NATC INSTITUTE PTE. LTD.,51,325.0,18.0,Unspecified,
111,Succinct Business Communication Through Writing,ALUE SINGAPORE PTE. LTD.,51,350.0,16.0,Unspecified,
112,Master Workplace Communication for Career Success,INFO-TECH SYSTEMS INTEGRATORS PTE. LTD.,51,500.0,16.0,Unspecified,
113,Bridging Gaps with Effective Workplace Communication,MIND TRANSFORMATIONS PTE LTD,51,550.0,14.0,Intermediate,
114,Essential Grammar for Professional Communication,NANYANG TECHNOLOGICAL UNIVERSITY,51,590.0,14.0,Intermediate,
115,Mastering Business Communication in an Evolving Workplace (Classroom & Asynchronous),KORN FERRY (SG) PTE. LTD.,51,630.0,20.0,Unspecified,
116,[LPCI] Mastering Business Communication in an Evolving Workplace (Classroom & Asynchronous),KORN FERRY (SG) PTE. LTD.,51,844.24,23.0,Unspecified,
117,Business Communication,Institute of Technical Education,51,861.0,61.5,Unspecified,
118,Fundamentals in Compensation Administration (SFw HR),SINGAPORE NATIONAL EMPLOYERS FEDERATION,35,210.0,17.5,Beginner,
119,Compensation Management Level 2: Process Payroll (Synchronous and Asynchronous e-learning),HUMAN CAPITAL (SINGAPORE) PTE. LTD.,35,250.0,24.0,Unspecified,
120,Implement Compensation Management Processes (SFw HR),SINGAPORE NATIONAL EMPLOYERS FEDERATION,35,285.0,24.0,Unspecified,
121,Compensation Management Level 4: Implement International Compensation Programme (Synchronous e-Learning),HUMAN CAPITAL (SINGAPORE) PTE. LTD.,35,355.0,24.0,Unspecified,
122,(eCornell) Executive Compensation Essentials,GENASHTIM,35,700.0,12.0,Beginner,
123,Compensation & Benefits,Institute of Technical Education,35,861.0,60.0,Unspecified,
124,Strategic Compensation Management (part of PDC2 of Specialist Diploma in Human Resource Management),Nanyang Polytechnic,35,1458.0,45.0,Unspecified,
125,Total Rewards Philosophy Development L4 powered by SHRM (SF) (Synchronous e-learning),NTUC LEARNINGHUB PTE. LTD.,35,425.0,22.0,Unspecified,
126,Total Reward Design and Management,SINGAPORE UNIVERSITY OF SOCIAL SCIENCES,35,438.3,36.0,Unspecified,
127,Advanced Certificate in Future Ready Rewards Strategies Module 2: Rewards Analytics,SINGAPORE MANAGEMENT UNIVERSITY,35,600.0,15.0,Advanced,
128,(eCornell) Leading Across Cultures,GENASHTIM,35,700.0,12.0,Unspecified,
129,Employee Relations Management (part of PDC2 of Specialist Diploma in Human Resource Management),Nanyang Polytechnic,35,972.0,30.0,Unspecified,
130,Employment Law (part of PDC2 of Specialist Diploma in Human Resource Management),Nanyang Polytechnic,35,972.0,30.0,Unspecified,
131,Performance Management (part of PDC2 of Specialist Diploma in Human Resource Management),Nanyang Polytechnic,35,972.0,30.0,Unspecified,
132,Strategic Human Resource Management,Republic Polytechnic,35,1458.0,45.0,Unspecified,
133,Executive Skills for Board Members in Challenging Times Module 6: Effective Succession Planning and Compensation Decisions,SINGAPORE MANAGEMENT UNIVERSITY,35,3300.0,16.0,Unspecified,
134,Post-Diploma Certificate in Performance and Compensation ManagementÂ  (part of Specialist Diploma in Human Resource Management),Nanyang Polytechnic,35,4374.0,135.0,Unspecified,
135,Critical Thinking and Problem Solving (Part of SCTP),Asian Culinary Institute of Singapore,59,174.0,14.0,Intermediate,
136,Critical Thinking and Problem Solving,Nanyang Polytechnic,59,290.0,14.0,Intermediate,
137,Critical Thinking and Problem Solving (Synchronous E-Learning),Nanyang Polytechnic,59,290.0,14.0,Intermediate,
138,Essential Thinking : Adopting A Growth Mindset for Critical Thinking and Problem Solving in the Digital Age,SINGAPORE MANAGEMENT UNIVERSITY,59,600.0,16.0,Beginner,
139,Essential Thinking : Adopting A Growth Mindset for Critical Thinking and Problem Solving in the Digital Age (Synchronous E-Learning),SINGAPORE MANAGEMENT UNIVERSITY,59,600.0,16.0,Beginner,
140,Critical Thinking (SFw),CAPELLE ACADEMY PTE. LTD.,59,250.0,8.0,Unspecified,
141,Effective Problem Solving for Operations Level (Classroom and Asynchronous E-learning),ITEL LEARNING SYSTEMS (S) PTE LTD,59,84.0,8.0,Unspecified,
142,Creative and Critical Thinking at the Workplace (Basic),SINGAPORE POLYTECHNIC,59,150.0,7.0,Beginner,
143,Professional Development (Professional) Series: Develop Problem Solving Skills for Professionals,NTUC LEARNINGHUB PTE. LTD.,59,100.0,7.0,Intermediate,
144,Critical Thinking (Level 3) (SF),LIGHTHOUSE GLOBAL TRAINING AND CONSULTANCY PTE. LTD.,59,125.0,9.0,Unspecified,
145,Problem Solving in a Digital World (Synchronous e-learning),Nanyang Polytechnic,59,99.0,14.0,Unspecified,
146,CoC in Systems Thinking for Problem Solving,Institute of Technical Education,59,135.0,8.0,Unspecified,
147,Problem Solving in a Digital World,Nanyang Polytechnic,59,112.5,14.0,Unspecified,
148,IT Troubleshooting and Problem Solving,@ASK TRAINING PTE. LTD.,59,90.0,8.0,Advanced,
149,Apply Systems Thinking in Problem Solving and Decision Making,SERVICE QUALITY CENTRE PTE. LTD.,59,125.0,16.0,Unspecified,
150,Creative and Critical Thinking at the Workplace (Intermediate),Singapore Polytechnic,59,150.0,14.0,Intermediate,
151,Effective Problem Solving for Supervisory Level,ITEL LEARNING SYSTEMS (S) PTE LTD,59,150.0,14.0,Intermediate,
152,Cultivate Creative and Critical Thinking for Workplace Success,SERVICE QUALITY CENTRE PTE. LTD.,59,225.0,14.0,Beginner,
153,Bounce Back Fast with Problem Solving,CAPELLE CONSULTING PTE. LTD.,59,225.0,8.0,Unspecified,
154,Problem Solving (Intermediate),SINGAPORE INSTITUTE OF MANAGEMENT GROUP LIMITED,59,200.0,8.5,Intermediate,
155,Problem Solving (Intermediate) (Synchronous and Asynchronous E-learning),SINGAPORE INSTITUTE OF MANAGEMENT GROUP LIMITED,59,200.0,8.5,Intermediate,
156,Creative Thinking: Techniques and Tools for Problem Solving,SINGAPORE NATIONAL EMPLOYERS FEDERATION,59,225.0,14.0,Unspecified,
157,Understand and Improve your Operations through A3 Structured Problem Solving (Lean),SINGAPORE INSTITUTE OF TECHNOLOGY,59,300.0,8.0,Beginner,
158,Apply Systems Thinking in Problem Solving and Decision Making,SINGAPORE NATIONAL EMPLOYERS FEDERATION,59,225.0,16.0,Unspecified,
159,Critical Thinking for the 21st Century Workplace,SINGAPORE INSTITUTE OF TECHNOLOGY,59,270.0,8.0,Unspecified,
160,PWM-Cleaning: Customer Management (Level 1) AOP,INSKILLS TRAINING PTE. LTD.,57,57.5,1.0,Unspecified,
161,PWM-Cleaning: L1 Customer Management - AOP,TRAINING MASTERS WORKFORCE INSTITUTE PTE LTD,57,60.0,1.0,Unspecified,
162,PWM-Retail: Service Challenges (SF-Associate) [AOP],Singapore Institute Of Retail Studies (SIRS),57,81.0,1.0,Unspecified,
163,PWM-Retail: Visual Merchandising Presentation (SF - Associate) [AOP],Singapore Institute Of Retail Studies (SIRS),57,81.0,1.5,Unspecified,
164,Customer Journey Mapping (CJM) Fundamentals,Republic Polytechnic,57,81.0,8.0,Beginner,
165,Digital Customer Experience: Fundamentals of Contact Centre Operations,Republic Polytechnic,57,81.0,8.0,Beginner,
166,Growing Customer Satisfaction And Service Quality In F&B (Synchronous e-learning),Republic Polytechnic,57,81.0,8.0,Beginner,
167,PWM-Cleaning: Provide Quality Services- (AOP),ADEPCO CONSULTANTS PTE. LTD.,57,62.5,1.0,Intermediate,
168,How Marketers can Win with Gen Z (Synchronous e-Learning),Nanyang Polytechnic,57,63.0,8.0,Unspecified,
169,Building Resilience for Workplace Success,Nanyang Polytechnic,57,70.5,7.0,Unspecified,
170,Building Resilience for Workplace Success (Synchronous e-Learning),Nanyang Polytechnic,57,70.5,7.0,Unspecified,
171,Creating Moments of Emotional Connections in Customer Service,Nanyang Polytechnic,57,70.5,7.0,Unspecified,
172,Emotional Intelligence for Workplace Success,Nanyang Polytechnic,57,70.5,7.0,Unspecified,
173,Emotional Intelligence for Workplace Success (Synchronous e-Learning),Nanyang Polytechnic,57,70.5,7.0,Unspecified,
174,How Marketers can Win with Gen Z,Nanyang Polytechnic,57,70.5,7.0,Unspecified,
175,Introduction to Service Innovation,Singapore Polytechnic,57,90.0,10.0,Beginner,
176,Create and Enhance Positive Customer Experience,AETOS TRAINING ACADEMY PTE. LTD.,57,90.0,10.5,Beginner,
177,PWM-Cleaning: Customer Management (Level 1),WORK WORK PRIVATE LIMITED,57,80.0,7.0,Unspecified,
178,PWM-Retail: Customer Experience Management (SF-Senior Associate) [AOP],Singapore Institute Of Retail Studies (SIRS),57,81.0,1.0,Intermediate,
179,PWM-Food Services: Customer Service Excellence,GUILFORD TRAINING CENTRE PTE LTD,57,85.0,7.0,Unspecified,
180,PWM-Food Services: Customer Service Excellence (Chinese),GUILFORD TRAINING CENTRE PTE LTD,57,85.0,7.0,Unspecified,
181,Customer Experience Management for Ambassadors,TRAINING VISION INSTITUTE PTE. LTD.,57,80.0,8.0,Unspecified,
182,Customer Experience 4.0,Republic Polytechnic,57,81.0,8.0,Unspecified,
183,Digitalising your Customer Experience,Republic Polytechnic,57,81.0,8.0,Unspecified,
184,Customer Management - Level 1,SKILLMASTER TRAINING CENTRE PTE. LTD.,57,90.0,8.0,Unspecified,
185,IOT Dashboard in Practice (Classroom & Asynchronous),Temasek Polytechnic,8,270.0,24.0,Beginner,
186,Advanced Certificate in Business Analytics for Data-Driven Decision Making (with Python) Module 6: Interactive Dashboard and End-to-end Business Analytics for Decision-Making,SINGAPORE MANAGEMENT UNIVERSITY,8,600.0,15.0,Advanced,
187,Advanced Certificate in Business Analytics for Data-Driven Decision Making (with Python) Module 6: Interactive Dashboard and End-to-end Business Analytics for Decision-Making (Synchronous E-learning),SINGAPORE MANAGEMENT UNIVERSITY,8,600.0,15.0,Advanced,
188,Dynamic Dashboard Development,Institute of Technical Education,8,861.0,60.0,Unspecified,
189,Business Intelligence to Improve Revenue,Nanyang Polytechnic,8,135.0,16.0,Unspecified,
190,WSQ-MS Unleashing the Power of Excel Dashboards,TRAINOCATE (S) PTE. LTD.,8,240.0,16.0,Advanced,
191,Visualisation for Decision Making,SINGAPORE UNIVERSITY OF SOCIAL SCIENCES,8,455.0,7.0,Beginner,
192,â€‹â€‹â€‹Power BI for Smart Manufacturingâ€‹â€‹,SINGAPORE POLYTECHNIC,8,297.0,24.0,Advanced,
193,Datacentric Development,BELLS Institute of Higher Learning Pte. Ltd.,8,420.0,28.0,Beginner,
194,Integrating IoT System in a Container Farm (Classroom & Asynchronous),Republic Polytechnic,8,360.0,40.0,Unspecified,
195,Digital Transformation in Business with Accounting Analytics (Tableau),SINGAPORE INSTITUTE OF TECHNOLOGY,8,570.0,16.0,Unspecified,
196,Business Intelligence Project (in PDC in Business Intelligence in Specialist Diploma in Financial Analytics),Temasek Polytechnic,8,547.2,60.0,Unspecified,
197,Creating Reports and Dashboards Using Tableau,SINGAPORE MANAGEMENT UNIVERSITY,8,900.0,22.0,Beginner,
198,Creating Reports and Dashboards Using Tableau (Synchronous E-Learning),SINGAPORE MANAGEMENT UNIVERSITY,8,900.0,22.0,Beginner,
199,"Data Wrangling, Analysis and Visualisation",SINGAPORE POLYTECHNIC,6,195.0,24.0,Unspecified,
200,"Fundamentals of Data Wrangling, Analysis and Visualisation",Republic Polytechnic,6,342.0,28.0,Beginner,
201,(eCornell) Data Cleaning With the Tidyverse,GENASHTIM,6,700.0,12.0,Unspecified,
202,Module 5: Basic Data Wrangling in Python,SINGAPORE MANAGEMENT UNIVERSITY,6,720.0,17.0,Beginner,
203,Augmented Data Preparation (in PDC in Augmented Analytics in Specialist Diploma in Data Science For Business),Temasek Polytechnic,6,547.2,60.0,Beginner,
204,Data Wrangling (Classroom & Asynchronous),Ngee Ann Polytechnic,6,660.0,48.0,Unspecified,
205,Data Wrangling (Synchronous e-learning),Ngee Ann Polytechnic,6,660.0,48.0,Unspecified,
206,Data Wrangling,Republic Polytechnic,6,912.0,30.0,Unspecified,
207,Data Analytics for Electronics Industry,SINGAPORE POLYTECHNIC,6,99.0,8.0,Unspecified,
208,DATA ANALYSIS AND DATA WRANGLING WITH PYTHON (Classroom & Asynchronous e-Learning),MAGES INSTITUTE OF EXCELLENCE PTE. LTD.,6,1300.0,40.0,Beginner,
209,Business Concepts & Insights (Classroom & Synchronous),Ngee Ann Polytechnic,6,570.0,48.0,Unspecified,
210,Business Concepts & Insights (Synchronous e-learning),Ngee Ann Polytechnic,6,570.0,48.0,Unspecified,
211,(SCTP Module) Data Wrangling and Preparation with Programming,SINGAPORE UNIVERSITY OF TECHNOLOGY AND DESIGN,6,1350.0,156.5,Unspecified,
212,Data Wrangling and Preparation with Excel,SINGAPORE UNIVERSITY OF TECHNOLOGY AND DESIGN,6,1350.0,156.5,Unspecified,
213,Data Wrangling and Preparation with Programming,SINGAPORE UNIVERSITY OF TECHNOLOGY AND DESIGN,6,1350.0,156.5,Unspecified,
214,"Introduction to Data Cleansing, Shaping and Synthesis",Republic Polytechnic,6,153.0,16.0,Beginner,
215,Certificate in Data Processing for Consumer Insights,Republic Polytechnic,6,153.0,16.0,Unspecified,
216,Data Preparation for Analytics,SINGAPORE UNIVERSITY OF TECHNOLOGY AND DESIGN,6,900.0,142.0,Unspecified,
217,Data Analytics Using R,Singapore Polytechnic,6,270.0,16.0,Unspecified,
218,Data Analytics Using R (Synchronous e-learning),Singapore Polytechnic,6,270.0,16.0,Unspecified,
219,CoC in Essentials of Data Governance and Data Security Management,Institute of Technical Education,6,240.0,16.0,Intermediate,
220,Business Analytics Essentials for finance industry - Synchronous elearning,Nanyang Polytechnic,6,252.0,28.0,Unspecified,
221,â€‹â€‹(Micro-Credential) Human Resource (HR) Data Gathering and Analytics â€‹(Synchronous and Asynchronous e-learning),SINGAPORE POLYTECHNIC,6,315.0,30.0,Unspecified,
